PERIODO,NIU,DIUG,FIUG,CEC,VCD,VCF,GRUPO_CALIDAD_x,NIVEL_TENSION_x,CARGO_DISTRIBUCION,CONSUMO_MES,MES_FACTURADOS,%_PROP._ACTIVO,COMPENSADO,ALTITUD,LONGITUD,LATITUD
2025-08,4084826,57.02,26,443.187,35310.534,0.0,32,1,398.37,439.0,2,100,1,1515.0,-76.175636,3.879613
2025-08,1545084,10.87,11,158.229,0.0,12606.768,11,1,398.37,158.0,1,100,1,1019.0,-76.274752,3.515514
2025-07,3410399,8.49,7,0.0,0.0,0.0,13,1,398.997,0.0,2,100,0,8.0,-77.028904,3.887052
2025-08,3552538,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,1,1746.0,-75.993091,4.062959
2025-08,1649076,8.49,7,0.0,0.0,0.0,13,1,398.37,769.0,1,100,0,11.0,-77.041914,3.882558
2025-08,1330852,40.96,23,73.461,0.0,5852.969,31,1,398.37,73.0,1,100,1,988.0,-76.336004,3.329124
2025-08,1158750,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,0,1182.0,-76.667028,3.666267
2025-08,1205806,11.91,11,0.0,0.0,0.0,22,1,398.37,76.0,1,100,0,1038.0,-76.263937,3.726016
2025-08,2027954,11.91,11,0.0,0.0,0.0,22,1,398.37,165.0,1,100,0,1223.0,-75.786884,4.673775
2025-08,4128970,40.96,23,0.0,0.0,0.0,31,1,398.37,103.0,1,100,0,876.0,-76.461577,3.400726
2025-08,4159060,10.25,13,0.0,0.0,0.0,12,1,398.37,83.0,1,100,0,965.0,-76.519566,3.24685
2025-08,2017910,11.91,11,0.0,0.0,0.0,22,1,398.37,63.0,1,100,0,942.0,-75.988599,4.794575
2025-08,2057204,11.1,12,0.0,0.0,0.0,21,1,398.37,213.0,1,100,0,1926.0,-76.222166,4.760668
2025-07,20240136962,40.96,23,0.0,0.0,0.0,31,1,327.878,193.0,1,0,0,1080.0,-76.261489,3.603971
2025-07,3326783,10.87,11,0.0,0.0,0.0,11,1,398.997,45.0,1,100,0,1023.0,-76.291795,3.551323
2025-07,1289976,10.25,13,0.0,0.0,0.0,12,1,398.997,0.0,2,100,0,979.0,-76.543419,3.253592
2025-08,4154821,57.02,26,0.0,0.0,0.0,32,1,398.37,168.0,1,100,0,1002.0,-76.577904,3.242678
2025-07,1411449,10.87,11,0.0,0.0,0.0,11,1,398.997,199.0,1,100,0,995.0,-76.312753,3.534313
2025-08,3565684,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,1069.0,-76.244581,3.659723
2025-07,2932908,11.1,12,0.0,0.0,0.0,21,1,398.997,383.0,1,100,0,968.0,-76.387566,3.396242
2025-08,1980188,11.91,11,0.0,0.0,0.0,22,1,398.37,81.0,1,100,0,944.0,-76.158756,4.210305
2025-08,1122008,11.91,11,0.0,0.0,0.0,22,1,398.37,104.0,1,100,0,1427.0,-76.521271,3.826507
2025-08,20240005159,40.96,23,0.0,0.0,0.0,31,1,398.37,154.0,1,100,0,931.0,-76.092577,4.541768
2025-08,1570701,8.49,7,138.471,11032.566,0.0,13,1,398.37,137.0,1,100,1,16.0,-77.066665,3.879873
2025-08,1469001,40.96,23,70.578,5623.273,5623.273,31,1,398.37,140.0,2,100,1,1182.0,-76.197453,3.595097
2025-07,3981125,10.25,13,0.0,0.0,0.0,12,1,398.997,121.0,1,100,0,967.0,-76.508556,3.226527
2025-08,3402346,10.25,13,677.111,53948.214,53948.214,12,1,398.37,674.0,1,100,1,983.0,-76.584383,3.267774
2025-07,2028312,11.91,11,0.0,0.0,0.0,22,1,398.997,57.0,1,100,0,1223.0,-75.786108,4.67418
2025-08,1353274,40.96,23,74.967,5972.888,0.0,31,1,398.37,148.0,2,100,1,967.0,-76.378663,3.455158
2025-07,3146437,40.96,23,0.0,0.0,0.0,31,1,398.997,0.0,2,100,0,959.0,-76.409795,3.617277
2025-08,3960919,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,1,2149.0,-75.999335,3.900114
2025-07,2751755,10.25,13,0.0,0.0,0.0,12,1,398.997,143.0,1,100,0,977.0,-76.545646,3.255101
2025-08,1268952,40.96,23,360.241,23549.985,23549.985,31,1,326.865,349.0,1,0,1,1108.0,-76.23365,3.548024
2025-08,3297253,57.02,26,151.97,12108.073,12108.073,32,1,398.37,146.0,2,100,1,1537.0,-75.725946,4.674364
2025-08,4192891,8.49,7,0.0,0.0,0.0,13,1,398.37,106.0,1,100,0,18.0,-76.997056,3.866219
2025-07,3904238,10.25,13,270.051,0.0,21549.954,12,1,398.997,270.0,1,100,1,967.0,-76.510221,3.223868
2025-07,1145494,11.1,12,0.0,0.0,0.0,21,1,398.997,79.0,1,100,0,838.0,-76.695033,3.656908
2025-08,1999312,11.91,11,67.152,0.0,5350.261,22,1,398.37,67.0,1,100,1,937.0,-75.976229,4.572668
2025-08,1083593,10.25,13,0.0,0.0,0.0,12,1,398.37,236.0,1,100,0,993.0,-76.293621,3.887857
